year,BRA_03_f08,BRA_03_f10,BRA_03_f15,BRA_03_p10,BRA_12_f08,BRA_12_f10,BRA_12_f15,BRA_12_p10,ETH_03_f08,ETH_03_f10,ETH_03_f15,ETH_03_p10,ETH_12_f08,ETH_12_f10,ETH_12_f15,ETH_12_p10,SOM_03_f08,SOM_03_f10,SOM_03_f15,SOM_03_p10,SOM_12_f08,SOM_12_f10,SOM_12_f15,SOM_12_p10
1987,0.4317889317889318,0.3211068211068211,0.09716859716859717,-1.4830469071865082,0.4305019305019305,0.2908622908622909,0.07915057915057915,-1.4563940575248318,0.3832881240749379,0.305459089940508,0.1204178832852445,-1.6084127028783162,0.3172077379821121,0.2540587547584904,0.13950943635285107,-1.610306978225708,0.3032642136010752,0.24377755811499732,0.07093750347079536,-1.3586169481277466,0.09058498172973335,0.062252185212745885,0.014149738440863204,-0.7471556663513184
1988,0.09137709137709138,0.047619047619047616,0.010939510939510939,-0.7682039737701416,0.2483912483912484,0.18018018018018017,0.08622908622908623,-1.4217457903756037,0.24519543645651565,0.21876673750410341,0.039651687140413616,-1.265807358842147,0.060211821213220676,0.03230878211441109,0.008811486031203027,-0.5837686955928802,0.4192276508546487,0.34275908793051757,0.06797205593256107,-1.4264580965042115,0.10193587080866758,0.06508435420993593,0.0,-0.810269464718619
1989,0.13007083065035416,0.103026400515132,0.04185447520927238,-1.010031481583913,0.1891891891891892,0.14092664092664092,0.032175032175032175,-1.1705726110018218,0.023491536942011206,0.01028006703640353,0.0,-0.17615179419517518,0.045526011161215636,0.024965877088408573,0.0029371620104010087,-0.3617238163948059,0.025445094794362324,0.0226240323422593,0.00565323144929307,0.4599626064300537,0.0,0.0,0.0,0.4321672676901543
1990,0.20012870012870013,0.13191763191763192,0.039897039897039896,-1.1049187819163004,0.2734877734877735,0.20077220077220076,0.05148005148005148,-1.3273341380632842,0.6115678061836319,0.5406651720282475,0.3486331010271294,-2.426068385442098,0.35391650397092783,0.2995790067785092,0.1806239453572683,-1.9531119763851166,0.2748425647233915,0.2295278607683508,0.12464875551162304,-1.5693073916397873,0.13587747259460004,0.08489843064517923,0.022646245432433338,-0.9292296171188354
1991,0.6936936936936937,0.601029601029601,0.351994851994852,-1.952059819780547,0.26980038634900194,0.24018029620090148,0.14552479072762395,-1.7634233037630718,0.3274935641597125,0.2804989719932963,0.18797836866566456,-1.9221431255340575,0.36567667029492557,0.2599388379204893,0.08224053629122824,-1.3883484601974487,0.34852338483068074,0.29466774770372184,0.20115063807101533,-1.9026057720184326,0.23807990048535607,0.13325632795406342,0.034041560691715635,-1.1123437881469727
1992,0.5156046814044213,0.42912873862158646,0.17685305591677503,-1.842726652111326,0.6476683937823834,0.5874352331606217,0.4099740932642487,-2.217810379134284,0.02056013407280706,0.008811486031203027,0.0,-0.19567125042279562,0.27609322897769484,0.21294424575407314,0.11161215639523833,-1.5492706596851349,0.07923409265079913,0.03960593978031255,0.0,-0.6743896007537842,0.2662460988260382,0.23790219576396376,0.1529371258482624,-1.7691112995147704
1993,0.007078507078507079,0.0,0.0,-0.16442730360560948,0.07915057915057915,0.04504504504504504,0.021879021879021878,-0.7395580728848775,0.28489319672650415,0.1879726095244677,0.04699459216641614,-1.2311218295778548,0.15273242454085245,0.1351094524784464,0.03818310613521311,-1.1344827711582184,0.2662238857358642,0.15009385030598535,0.03115385896909049,-1.0856517950693767,0.19259859835401005,0.16427690838210962,0.05947554894099094,-1.2014354864756267
1994,0.18146718146718147,0.14607464607464607,0.026383526383526385,-1.138503717051612,0.06241956241956242,0.03667953667953668,0.0,-0.6056736946105957,0.17329255861365953,0.12923512845764437,0.039651687140413616,-1.2059550682703655,0.1336408714732459,0.06461756422882219,0.007342905026002522,-0.8609357595443725,0.01132867598876018,0.0,0.0,-0.0858999490737915,0.002854382087364084,0.0,0.0,-0.12987481554349264
1995,0.12782440284054228,0.08650742414460942,0.029696578437701744,-0.9663728252053261,0.31145431145431146,0.2631917631917632,0.12612612612612611,-1.6710171169704862,0.14685234137885358,0.1013320893588348,0.03230878211441109,-1.0140276998281479,0.23937294470648535,0.1321722904680454,0.03818310613521311,-1.1016281247138977,0.11893999133689488,0.09627153281428748,0.022646245432433338,-0.9587549964586893,0.1472505747637083,0.04814687295223076,2.2213090174039567e-05,-0.8577896356582642
1996,0.2953667953667954,0.20398970398970398,0.043758043758043756,-1.2990432475742542,0.11132561132561132,0.07786357786357787,0.01866151866151866,-0.8561453104019165,0.5360320668981841,0.43323139653414877,0.19825843570206808,-1.7304020987616644,0.22322431279047666,0.17769830162926104,0.04112026814561412,-1.20996712313758,0.4760154158845807,0.3966258316025634,0.1954307673512001,-1.7849022150039673,0.24937525683885514,0.19550851316680926,0.04814687295223076,-1.2268665973856157
